NationalDrugCode,NdcDescription,NumberOfClaims
43386008303,AMLOD/VALSAR TAB 5-160MG,80
43386008309,AMLOD/VALSAR TAB 5-160MG,4
43386008803,VORICONAZOLE TAB 50MG,5
43386008903,VORICONAZOLE TAB 200MG,18
43386009019,GAVILYTE-G   SOL,145952
43386011801,HYDROC/HOMAT TAB 5-1.5MG,404
43386011803,HYDROC/HOMAT TAB 5-1.5MG,278
43386014001,METHYLERGON  TAB 0.2MG,5777
43386014007,METHYLERGON  TAB 0.2MG,3942
43386014028,METHYLERGON  TAB 0.2MG,22684
43386016006,MISOPROSTOL  TAB 100MCG,7534
43386016012,MISOPROSTOL  TAB 100MCG,1458
43386016101,MISOPROSTOL  TAB 200MCG,5918
43386016106,MISOPROSTOL  TAB 200MCG,30840
43386031208,GAVILAX      POW,65
43386031214,GAVILAX      POW,103
43386033001,TRIMETHOPRIM TAB 100MG,23848
43386035001,HYDROCODONE/ TAB HOMATROP,2339
43386035003,HYDROCODONE/ TAB HOMATROP,1324
43386035101,HYDROCO/APAP TAB 5-300MG,2100
43386035201,HYDROCO/APAP TAB 7.5-300,703
43386035301,HYDROCO/APAP TAB 10-300MG,124
43386035305,HYDROCO/APAP TAB 10-300MG,1
43386036021,PHENELZINE   TAB 15MG,4441
43386044024,NIFEDIPINE   CAP 10MG,11491
43386045011,NITROFURANTN SUS 25MG/5ML,874
43386048024,ORPHENADRINE TAB 100MG ER,16324
43386048026,ORPHENADRINE TAB 100MG ER,1192
43386048028,ORPHENADRINE TAB 100MG ER,97
43386050011,FAMOTIDINE   SUS 40MG/5ML,980
43386051087,MESALAMINE   ENE 4GM,14408
43386053001,NYSTATIN     POW 100000,10638
43386053002,NYSTATIN     POW 100000,2201
43386053006,NYSTATIN     POW 100000,3623
43386054001,MORPHINE SUL TAB 15MG ER,227
43386054101,MORPHINE SUL TAB 30MG ER,273
43386054201,MORPHINE SUL TAB 60MG ER,129
43386054301,MORPHINE SUL TAB 100MG ER,21
43386055004,TINIDAZOLE   TAB 250MG,259
43386055102,TINIDAZOLE   TAB 500MG,15463
43386055106,TINIDAZOLE   TAB 500MG,240
43386057001,METHLPHENIDA CHW 2.5MG,300
43386057101,METHYLPHENID CHW 5MG,462
43386057201,METHYLPHENID CHW 10MG,216
43386057301,METHYLPHENID TAB 5MG,564
43386057401,METHYLPHENID TAB 10MG,992
43386057501,METHYLPHENID TAB 20MG,635
43386058030,METOCLOPRAMI TAB 10MG ODT,30
43386058130,METOCLOPRAM  TAB 5MG ODT,79
43386062030,MY WAY       TAB 1.5MG,1568
43386062230,MY WAY       TAB 1.5MG,1314
43386066003,TRIMETHOBENZ CAP 300MG,4378
43386066024,TRIMETHOBENZ CAP 300MG,6754
43386066026,TRIMETHOBENZ CAP 300MG,1
43386067001,PENTA/APAP   TAB 25-650MG,710
43386068001,PENTAZ/NALOX TAB 50-0.5MG,10338
43386071005,QNAPRIL/HCTZ TAB 10-12.5,8
43386071009,QNAPRIL/HCTZ TAB 10-12.5,1675
43386071105,QNAPRIL/HCTZ TAB 20-12.5,60
43386071109,QNAPRIL/HCTZ TAB 20-12.5,9121
43386071205,QNAPRIL/HCTZ TAB 20-25MG,22
43386071209,QNAPRIL/HCTZ TAB 20-25MG,5424
43386076130,ZOLPIDEM TAR SUB 3.5MG,372
43386076230,ZOLPIDEM TAR SUB 1.75MG,236
43386079001,DOXYCYC MONO CAP 50MG,235
43386079101,DOXYCYCLINE  CAP 75MG,8
43386079202,DOXYCYC MONO CAP 100MG,109
43386079211,DOXYCYC MONO CAP 100MG,1236
43386086001,DEXMETHYLPH  TAB 5MG,412
43386086101,DEXMETHYLPH  TAB 10MG,524
43386086201,DEXMETHYLPH  TAB 2.5MG,97
43386087001,DEXTROAMPHET TAB 5MG,26
43386087101,DEXTROAMPHET TAB 10MG,72
43386092060,OXYCODONE    CON 100/5ML,291
43386093005,METHYLPHENID SOL 5MG/5ML,39
43386093105,METHYLPHENID SOL 10MG/5ML,16
43393020304,MISOPROSTOL  TAB 200MCG,3
43469086401,SYNERA       DIS 70-70MG,11
43469086410,SYNERA       DIS 70-70MG,178
43478024120,TRETINOIN    CRE 0.1%,16269
43478024145,TRETINOIN    CRE 0.1%,44600
43478024220,TRETINOIN    CRE 0.05%,34780
43478024245,TRETINOIN    CRE 0.05%,86222
43478024320,TRETINOIN    CRE 0.025%,37355
43478024345,TRETINOIN    CRE 0.025%,79019
43478024415,TRETINOIN    GEL 0.025%,5329
43478024445,TRETINOIN    GEL 0.025%,12428
43478024515,TRETINOIN    GEL 0.01%,5488
43478024545,TRETINOIN    GEL 0.01%,10738
43478027015,HC BUTYRATE  CRE 0.1%,5593
43478027045,HC BUTYRATE  CRE 0.1%,7922
43478027115,HC BUTYRATE  OIN 0.1%,1062
43478027145,HC BUTYRATE  OIN 0.1%,1246
43478027361,HC BUTYRATE  SOL 0.1%,1823
43478041003,NITROGLYCER  AER 400MCG,2016
43478041007,NITROGLYCER  AER 400MCG,1413
43478090088,PROPRANOLOL  CAP 60MG ER,50830
43478090188,PROPRANOLOL  CAP 80MG ER,58094
43478090288,PROPRANOLOL  CAP 120MG ER,34914
43478090388,PROPRANOLOL  CAP 160MG ER,16233
43485010160,SPRITAM      TAB 250MG,4
43485010260,SPRITAM      TAB 500MG,41
43485010360,SPRITAM      TAB 750MG,17
43485010460,SPRITAM      TAB 1000MG,15
43538010060,SUMAXIN      PAD 10-4%,7445
43538010160,SUMAXIN CP   KIT,3
43538011016,PACNEX WASH  LIQ 7%,2150
43538012016,PACNEX MX    LIQ 4.25%,1265
43538013016,SUMAXIN WASH LIQ 9-4%,3946
43538014060,PACNEX HP    PAD 7%,347
43538015060,PACNEX LP    PAD 4.25%,378
43538016016,SUMAXIN TS   SUS 8-4%,1357
43538017069,CLINDACIN-P  PAD 1%,4923
43538017169,CLINDACIN    KIT PAC 1%,38
43538017260,CLINDACIN    MIS ETZ 1%,2269
43538017360,CLINDACIN    KIT ETZ 1%,19
43538017645,NEUAC        GEL 1.2-5%,723
43538017745,NEUAC        KIT 1.2-5%,13
43538018045,ROSADAN      CRE 0.75%,1514
43538018145,ROSADAN      KIT 0.75%,46
43538018245,ROSADAN      GEL 0.75%,518
43538018345,ROSADAN      KIT 0.75%,6
43538019016,SUMADAN WASH LIQ 9-4.5%,18501
43538019116,SUMADAN      KIT,32
43538019216,SUMADAN XLT  KIT 9-4.5%,34
43538020028,URAMAXIN     GEL 45%,652
43538021009,URAMAXIN     CRE 45%,1297
43538022010,URAMAXIN     AER 20%,942
43538023016,URAMAXIN     LOT 45%,382
43538025020,URAMAXIN GT  SOL 45%,782
43538025120,URAMAXIN GT  KIT 45%,1
43538030030,CENTANY      OIN 2%,2969
43538031030,CENTANY AT   KIT 2%,45
43538044060,NICADAN      TAB,207
43538050006,CICLODAN     SOL 8%,180
43538050106,CICLODAN SOL KIT 8%,29
43538051012,GENADUR      LIQ,16
43538051112,GENADUR      KIT,3
43538052090,CICLODAN     CRE 0.77%,193
43538052190,CICLODAN CRE KIT 0.77%,29
43538053010,KETODAN      AER 2%,1069
43538054090,LOPROX       CRE 0.77%,82
43538054190,LOPROX       KIT 0.77%,1
43538055060,LOPROX       SUS 0.77%,4
43538060030,MORGIDOX     CAP 1X100MG,1060
43538060130,MORGIDOX     KIT 1X100MG,55
43538061060,MORGIDOX     CAP 2X100MG,642
43538061160,MORGIDOX     KIT 2X100MG,14
43538062030,MORGIDOX     CAP 1X50MG,12
43538090012,SYNALAR      CRE 0.025%,580
43538090112,SYNALAR      KIT 0.025%,21
43538091012,SYNALAR      OIN 0.025%,809
43538091112,SYNALAR      KIT 0.025%,9
43538092060,SYNALAR      SOL 0.01%,496
43538092090,SYNALAR      SOL 0.01%,566
43538092160,SYNALAR TS   KIT 0.01%,14
43538092190,SYNALAR TS   KIT 0.01%,4
43538094060,NEO-SYNALAR  CRE,1706
43538094160,NEO-SYNALAR  KIT,12
43538095004,CLODAN       SHA 0.05%,734
43538095104,CLODAN       KIT 0.05%,15
43547022115,LEVETIRACETA TAB 250MG,10660
43547022211,LEVETIRACETA TAB 500MG,6649
43547022215,LEVETIRACETA TAB 500MG,56608
43547022315,LEVETIRACETA TAB 750MG,18480
43547022406,LEVETIRACETA TAB 1000MG,17979
43547022510,METHOCARBAM  TAB 500MG,3410
43547022550,METHOCARBAM  TAB 500MG,2860
43547022610,METHOCARBAM  TAB 750MG,4752
43547022650,METHOCARBAM  TAB 750MG,4634
43547023009,AMLODIPINE   TAB 2.5MG,11
43547023011,AMLODIPINE   TAB 2.5MG,57
43547023109,AMLODIPINE   TAB 5MG,159
43547023111,AMLODIPINE   TAB 5MG,70
43547023209,AMLODIPINE   TAB 10MG,303
43547023211,AMLODIPINE   TAB 10MG,232
43547024810,METFORMIN    TAB 500MG,9529
43547024811,METFORMIN    TAB 500MG,16
43547024850,METFORMIN    TAB 500MG,116375
43547024910,METFORMIN    TAB 850MG,12185
43547024911,METFORMIN    TAB 850MG,22
43547024950,METFORMIN    TAB 850MG,4059
43547025010,METFORMIN    TAB 1000MG,14942
43547025011,METFORMIN    TAB 1000MG,26
43547025050,METFORMIN    TAB 1000MG,63855
43547025110,CHLORDIAZEP  CAP 5MG,3329
43547025210,CHLORDIAZEP  CAP 10MG,12883
43547025310,CHLORDIAZEP  CAP 25MG,10736
43547025410,CARVEDILOL   TAB 3.125MG,28999
43547025450,CARVEDILOL   TAB 3.125MG,81217
43547025510,CARVEDILOL   TAB 6.25MG,30480
43547025550,CARVEDILOL   TAB 6.25MG,161273
43547025610,CARVEDILOL   TAB 12.5MG,24893
43547025650,CARVEDILOL   TAB 12.5MG,110870
43547025710,CARVEDILOL   TAB 25MG,24847
43547025750,CARVEDILOL   TAB 25MG,126099
43547025801,FLUOROURACIL DRO 5%,1703
43547025901,FLUOROURACIL DRO 2%,1873
43547026410,PHENDIMETRAZ TAB 35MG,42
43547026411,PHENDIMETRAZ TAB 35MG,1
43547026510,GABAPENTIN   CAP 100MG,441
43547026550,GABAPENTIN   CAP 100MG,15525
43547026610,GABAPENTIN   CAP 300MG,795
43547026650,GABAPENTIN   CAP 300MG,46876
43547026710,GABAPENTIN   CAP 400MG,2316
43547026750,GABAPENTIN   CAP 400MG,2727
43547026810,ROPINIROLE   TAB 0.25MG,81963
43547026850,ROPINIROLE   TAB 0.25MG,172
43547026910,ROPINIROLE   TAB 0.5MG,122784
43547026950,ROPINIROLE   TAB 0.5MG,691
43547027010,ROPINIROLE   TAB 1MG,159085
43547027050,ROPINIROLE   TAB 1MG,1362
43547027110,ROPINIROLE   TAB 2MG,77586
43547027150,ROPINIROLE   TAB 2MG,151
43547027210,ROPINIROLE   TAB 3MG,26107
43547027310,ROPINIROLE   TAB 4MG,22521
43547027350,ROPINIROLE   TAB 4MG,16
43547027410,ROPINIROLE   TAB 5MG,6595
43547027450,ROPINIROLE   TAB 5MG,3
43547027503,DONEPEZIL    TAB 5MG,60839
43547027509,DONEPEZIL    TAB 5MG,139279
43547027511,DONEPEZIL    TAB 5MG,85874
43547027603,DONEPEZIL    TAB 10MG,97406
43547027609,DONEPEZIL    TAB 10MG,263718
43547027611,DONEPEZIL    TAB 10MG,356997
43547027703,IRBESARTAN   TAB 75MG,9777
43547027709,IRBESARTAN   TAB 75MG,7131
43547027750,IRBESARTAN   TAB 75MG,1
43547027803,IRBESARTAN   TAB 150MG,29453
43547027809,IRBESARTAN   TAB 150MG,52991
43547027850,IRBESARTAN   TAB 150MG,1277
43547027903,IRBESARTAN   TAB 300MG,37382
43547027909,IRBESARTAN   TAB 300MG,75641
43547027950,IRBESARTAN   TAB 300MG,2319
43547028010,ESCITALOPRAM TAB 5MG,1974
43547028011,ESCITALOPRAM TAB 5MG,759
43547028110,ESCITALOPRAM TAB 10MG,3713
43547028111,ESCITALOPRAM TAB 10MG,11451
43547028210,ESCITALOPRAM TAB 20MG,2153
43547028211,ESCITALOPRAM TAB 20MG,9261
43547028809,BUPROPION    TAB 100MG ER,4367
43547028810,BUPROPION    TAB 100MG ER,10768
43547028909,BUPROPION    TAB 150MG ER,5917
43547028910,BUPROPION    TAB 150MG ER,40162
43547028950,BUPROPION    TAB 150MG ER,9269
43547029009,BUPROPION    TAB 200MG ER,3985
43547029010,BUPROPION    TAB 200MG ER,7599
43547031109,VALSART/HCTZ TAB 80-12.5,8984
43547031209,VALSART/HCTZ TAB 160-12.5,19862
43547031309,VALSART/HCTZ TAB 160-25MG,13014
43547031409,VALSART/HCTZ TAB 320-12.5,10625
43547031509,VALSART/HCTZ TAB 320-25MG,20470
43547032010,METFORMIN    TAB 500MG,1180
43547032011,METFORMIN    TAB 500MG,51402
43547032150,METFORMIN    TAB 850MG,2576
43547032210,METFORMIN    TAB 1000MG,3
43547032250,METFORMIN    TAB 1000MG,23508
43547032410,DOXYCYCL HYC TAB 150MG DR,16
43547032506,DOXYCYCL HYC TAB 200MG DR,12
43547033003,IRBESAR/HCTZ TAB 150-12.5,2308
43547033009,IRBESAR/HCTZ TAB 150-12.5,1543
43547033103,IRBESAR/HCTZ TAB 300-12.5,5346
43547033109,IRBESAR/HCTZ TAB 300-12.5,1833
43547033210,GABAPENTIN   TAB 600MG,4182
43547033250,GABAPENTIN   TAB 600MG,39928
43547033310,GABAPENTIN   TAB 800MG,5630
43547033350,GABAPENTIN   TAB 800MG,15204
43547033510,BENAZEPRIL   TAB 5MG,16371
43547033610,BENAZEPRIL   TAB 10MG,54217
43547033650,BENAZEPRIL   TAB 10MG,14161
43547033710,BENAZEPRIL   TAB 20MG,91961
43547033750,BENAZEPRIL   TAB 20MG,33011
43547033810,BENAZEPRIL   TAB 40MG,70853
43547033850,BENAZEPRIL   TAB 40MG,25130
43547033906,RISPERIDONE  TAB 0.25MG,468
43547033950,RISPERIDONE  TAB 0.25MG,6523
43547034006,RISPERIDONE  TAB 0.5MG,930
43547034050,RISPERIDONE  TAB 0.5MG,14462
43547034106,RISPERIDONE  TAB 1MG,1167
43547034150,RISPERIDONE  TAB 1MG,20059
43547034206,RISPERIDONE  TAB 2MG,666
43547034250,RISPERIDONE  TAB 2MG,15503
43547034306,RISPERIDONE  TAB 3MG,525
43547034350,RISPERIDONE  TAB 3MG,9941
43547034406,RISPERIDONE  TAB 4MG,290
43547034450,RISPERIDONE  TAB 4MG,6852
43547034506,LEVETIRACETA TAB 500MG ER,1864
43547034606,LEVETIRACETA TAB 750MG ER,833
43547034703,PAROXETINE   TAB 10MG,15454
43547034709,PAROXETINE   TAB 10MG,8958
43547034711,PAROXETINE   TAB 10MG,4717
43547034750,PAROXETINE   TAB 10MG,613
43547034803,PAROXETINE   TAB 20MG,6691
43547034809,PAROXETINE   TAB 20MG,47278
43547034811,PAROXETINE   TAB 20MG,10191
43547034850,PAROXETINE   TAB 20MG,1208
43547034903,PAROXETINE   TAB 30MG,2105
43547034909,PAROXETINE   TAB 30MG,14726
43547034911,PAROXETINE   TAB 30MG,1258
43547034950,PAROXETINE   TAB 30MG,531
43547035003,PAROXETINE   TAB 40MG,16880
43547035009,PAROXETINE   TAB 40MG,23919
43547035011,PAROXETINE   TAB 40MG,2162
43547035050,PAROXETINE   TAB 40MG,991
43547035110,LISINOPRIL   TAB 2.5MG,27708
43547035150,LISINOPRIL   TAB 2.5MG,15621
43547035210,LISINOPRIL   TAB 5MG,6547
43547035211,LISINOPRIL   TAB 5MG,84865
43547035310,LISINOPRIL   TAB 10MG,3391
43547035311,LISINOPRIL   TAB 10MG,175754
43547035410,LISINOPRIL   TAB 20MG,5641
43547035411,LISINOPRIL   TAB 20MG,186279
43547035510,LISINOPRIL   TAB 30MG,8366
43547035550,LISINOPRIL   TAB 30MG,2860
43547035610,LISINOPRIL   TAB 40MG,6215
43547035611,LISINOPRIL   TAB 40MG,90823
43547035710,METFORMIN    TAB 500MG,4879
43547035711,METFORMIN    TAB 500MG,68862
43547035750,METFORMIN    TAB 500MG,904
43547035810,METFORMIN    TAB 850MG,2467
43547035850,METFORMIN    TAB 850MG,5633
43547035910,METFORMIN    TAB 1000MG,3384
43547035950,METFORMIN    TAB 1000MG,61000
43547036009,LOSARTAN POT TAB 25MG,53548
43547036050,LOSARTAN POT TAB 25MG,18739
43547036103,LOSARTAN POT TAB 50MG,4697
43547036109,LOSARTAN POT TAB 50MG,114337
43547036111,LOSARTAN POT TAB 50MG,47006
43547036203,LOSARTAN POT TAB 100MG,767
43547036209,LOSARTAN POT TAB 100MG,113122
43547036211,LOSARTAN POT TAB 100MG,54256
43547036703,VALSARTAN    TAB 40MG,19695
43547036809,VALSARTAN    TAB 80MG,63944
43547036909,VALSARTAN    TAB 160MG,106021
43547037009,VALSARTAN    TAB 320MG,82344
43547037310,HYDROCO/APAP TAB 7.5-325,10
43547037403,IRBESARTAN   TAB 75MG,68
43547037409,IRBESARTAN   TAB 75MG,1091
43547037503,IRBESARTAN   TAB 150MG,578
43547037509,IRBESARTAN   TAB 150MG,7973
43547037550,IRBESARTAN   TAB 150MG,513
43547037603,IRBESARTAN   TAB 300MG,341
43547037609,IRBESARTAN   TAB 300MG,7221
43547037650,IRBESARTAN   TAB 300MG,184
43547037803,VORICONAZOLE TAB 200MG,2
43547038203,DONEPEZIL    TAB HCL 23MG,532
43547038209,DONEPEZIL    TAB HCL 23MG,12
43547038350,GABAPENTIN   CAP 100MG,4
43547038410,GABAPENTIN   CAP 300MG,75
43547038450,GABAPENTIN   CAP 300MG,1855
43547038510,GABAPENTIN   CAP 400MG,25
43547038550,GABAPENTIN   CAP 400MG,155
43547038950,GABAPENTIN   TAB 600MG,11948
43547039050,GABAPENTIN   TAB 800MG,4372
43547039103,OLM MED/HCTZ TAB 20-12.5,88
43547039109,OLM MED/HCTZ TAB 20-12.5,5
43547039203,OLM MED/HCTZ TAB 40-12.5,69
43547039209,OLM MED/HCTZ TAB 40-12.5,4
43547039303,OLM MED/HCTZ TAB 40-25MG,120
43547039309,OLM MED/HCTZ TAB 40-25MG,10
43547039550,GLIMEPIRIDE  TAB 2MG,1
43547039610,GLIMEPIRIDE  TAB 4MG,1
43547039910,CYCLOBENZAPR TAB 5MG,41
43547039950,CYCLOBENZAPR TAB 5MG,11
43547040010,CYCLOBENZAPR TAB 10MG,42
43547040011,CYCLOBENZAPR TAB 10MG,65
43547040050,CYCLOBENZAPR TAB 10MG,143
43553325604,SENSI-CARE   OIN 49-15%,8
43567053007,METHYLPHENID TAB 10MG,3
43595008003,OLEPTRO      TAB 24HR150,3622
43595008103,OLEPTRO      TAB 24HR300,2499
43598000351,AUGMENTIN    SUS ES-600,31
43598000451,AUGMENTIN    SUS 250/5ML,33
43598000452,AUGMENTIN    SUS 250/5ML,16
43598000453,AUGMENTIN    SUS 250/5ML,31
43598000614,AUGMENTIN    TAB 500MG,342
43598001251,AUGMENTIN    SUS 125/5ML,523
43598001252,AUGMENTIN    SUS 125/5ML,230
43598001253,AUGMENTIN    SUS 125/5ML,159
43598002028,AUGMENTIN XR TAB 12HR,66
43598002040,AUGMENTIN XR TAB 12HR,423
43598002114,AUGMENTIN    TAB 875MG,1409
43598016405,OLANZAPINE   TAB 5MG,6154
43598016430,OLANZAPINE   TAB 5MG,34811
43598016505,OLANZAPINE   TAB 7.5MG,609
43598016530,OLANZAPINE   TAB 7.5MG,8014
43598016605,OLANZAPINE   TAB 10MG,9528
43598016630,OLANZAPINE   TAB 10MG,38438
43598020351,AMOX/K CLAV  SUS 600/5ML,44781
43598020354,AMOX/K CLAV  SUS 600/5ML,18261
43598020369,AMOX/K CLAV  SUS 600/5ML,64711
43598020451,AMOX/K CLAV  SUS 250/5ML,4988
43598020452,AMOX/K CLAV  SUS 250/5ML,14681
43598020453,AMOX/K CLAV  SUS 250/5ML,5604
43598020501,AMOXICILLIN  CAP 500MG,576
43598020505,AMOXICILLIN  CAP 500MG,15664
43598020614,AMOX/K CLAV  TAB 500MG,59933
43598020750,AMOXICILLIN  SUS 400/5ML,5015
43598020751,AMOXICILLIN  SUS 400/5ML,39266
43598020752,AMOXICILLIN  SUS 400/5ML,80630
43598020850,AMOX/K CLAV  SUS 400/5ML,4403
43598020851,AMOX/K CLAV  SUS 400/5ML,23960
43598020852,AMOX/K CLAV  SUS 400/5ML,45967
43598020952,AMOXICILLIN  SUS 250/5ML,2234
43598020953,AMOXICILLIN  SUS 250/5ML,1458
43598020980,AMOXICILLIN  SUS 250/5ML,73
43598021025,SSD          CRE 1%,12102
43598021040,SSD          CRE 1%,27088
43598021050,SSD          CRE 1%,21916
43598021055,SSD          CRE 1%,59079
43598021085,SSD          CRE 1%,19466
43598021350,AMOX/K CLAV  SUS 200/5ML,392
43598021351,AMOX/K CLAV  SUS 200/5ML,999
43598021352,AMOX/K CLAV  SUS 200/5ML,4193
43598021830,AMOX/K CLAV  TAB 250MG,4487
43598021901,AMOXICILLIN  TAB 875MG,14526
43598021914,AMOXICILLIN  TAB 875MG,1461
43598022028,AMOX-POT CLA TAB ER,2781
43598022040,AMOX-POT CLA TAB ER,36729
43598022114,AMOX/K CLAV  TAB 875MG,1212720
43598022252,AMOXICILLIN  SUS 125/5ML,11
43598022253,AMOXICILLIN  SUS 125/5ML,4
43598022350,AMOXICILLIN  SUS 200/5ML,76
43598022351,AMOXICILLIN  SUS 200/5ML,79
43598022352,AMOXICILLIN  SUS 200/5ML,2167
43598022401,AMOXICILLIN  TAB 500MG,1850
43598022501,AMOXICILLIN  CAP 250MG,259
43598022505,AMOXICILLIN  CAP 250MG,378
43598025811,DOCETAXEL    INJ 20MG/ML,10
43598025940,DOCETAXEL    INJ 80MG/4ML,7
43598030330,FINASTERIDE  TAB 5MG,15964
43598030390,FINASTERIDE  TAB 5MG,160330
43598030562,AZACITIDINE  INJ 100MG,25
43598031330,AMLOD/ATORVA TAB 10-80MG,1295
43598031430,AMLOD/ATORVA TAB 5-80MG,640
43598031530,AMLOD/ATORVA TAB 10-40MG,4342
43598031590,AMLOD/ATORVA TAB 10-40MG,231
43598031630,AMLOD/ATORVA TAB 5-40MG,3057
43598031690,AMLOD/ATORVA TAB 5-40MG,55
43598031730,AMLOD/ATORVA TAB 2.5-40MG,117
43598031830,AMLOD/ATORVA TAB 10-20MG,6547
43598031890,AMLOD/ATORVA TAB 10-20MG,84
43598031930,AMLOD/ATORVA TAB 5-20MG,4346
43598031990,AMLOD/ATORVA TAB 5-20MG,93
43598032030,AMLOD/ATORVA TAB 2.5-20MG,174
43598032130,AMLOD/ATORVA TAB 10-10MG,5419
43598032190,AMLOD/ATORVA TAB 10-10MG,244
43598032230,AMLOD/ATORVA TAB 5-10MG,6387
43598032290,AMLOD/ATORVA TAB 5-10MG,115
43598032330,AMLOD/ATORVA TAB 2.5-10MG,440
43598033111,ZOLEDRONIC   INJ 5/100ML,24
43598034145,CLOCORTOLONE CRE PIV 0.1%,4420
43598034175,CLOCORTOLONE CRE PIV 0.1%,1317
43598034190,CLOCORTOLONE CRE PIV 0.1%,2542
43598034901,PROGESTERONE CAP 100MG,527
43598035001,PROGESTERONE CAP 200MG,230
43598039030,FINASTERIDE  TAB 1MG,691
43598039090,FINASTERIDE  TAB 1MG,41
43598040925,LEVALBUTEROL NEB 1.25MG,2981
43598041025,LEVALBUTEROL NEB 0.63MG,3071
43598041225,LEVALBUTEROL NEB 0.31MG,338
43598043130,NYSTAT/TRIAM CRE,94
43598043144,NYSTAT/TRIAM CRE,112
43598043160,NYSTAT/TRIAM CRE,48
43598043501,NITROGLYCERN SUB 0.3MG,1003
43598043601,NITROGLYCERN SUB 0.4MG,5052
43598043611,NITROGLYCERN SUB 0.4MG,39385
43598043701,NITROGLYCERI SUB 0.6MG,131
43598044556,NICOTINE SYS KIT TRANSDER,41
43598044670,NICOTINE TD  DIS 7MG/24HR,176
43598044674,NICOTINE TD  DIS 7MG/24HR,373
43598044770,NICOTINE TD  DIS 14MG/24H,187
43598044774,NICOTINE TD  DIS 14MG/24H,998
43598044828,NICOTINE TD  DIS 21MG/24H,980
43598044870,NICOTINE TD  DIS 21MG/24H,346
43598044874,NICOTINE TD  DIS 21MG/24H,858
43598046562,AZACITIDINE  INJ 100MG,4
43598049401,NAPROXEN SOD TAB 275MG,232
43598049501,NAPROXEN SOD TAB 550MG,3763
43598049505,NAPROXEN SOD TAB 550MG,251
43598050501,RALOXIFENE   TAB 60MG,287
43598050510,RALOXIFENE   TAB 60MG,98
43598050530,RALOXIFENE   TAB 60MG,771
43598050910,ESOMEPRA MAG CAP 20MG DR,117
43598050930,ESOMEPRA MAG CAP 20MG DR,2634
43598050990,ESOMEPRA MAG CAP 20MG DR,526
43598051010,ESOMEPRA MAG CAP 40MG DR,4847
43598051030,ESOMEPRA MAG CAP 40MG DR,39000
43598051090,ESOMEPRA MAG CAP 40MG DR,18569
43598053601,BUPROPION    TAB 100MG ER,153
43598053660,BUPROPION    TAB 100MG ER,2242
43598053701,BUPROPION    TAB 150MG ER,49
43598053705,BUPROPION    TAB 150MG ER,5251
43598053760,BUPROPION    TAB 150MG ER,4835
43598053860,BUPROPION    TAB 200MG ER,1680
43598055030,LAMOTRIGINE  TAB 25MG ODT,48
43598055130,LAMOTRIGINE  TAB 50MG ODT,105
43598055230,LAMOTRIGINE  TAB 100MG,72
43598055330,LAMOTRIGINE  TAB 200MG,62
43598055430,ARIPIPRAZOLE TAB 2MG,2045
43598055530,ARIPIPRAZOLE TAB 5MG,4144
43598055630,ARIPIPRAZOLE TAB 10MG,3169
43598055730,ARIPIPRAZOLE TAB 15MG,1773
43598055830,ARIPIPRAZOLE TAB 20MG,1306
43598055930,ARIPIPRAZOLE TAB 30MG,1199
43598058330,EZETIM/SIMVA TAB 10-10MG,38
43598058390,EZETIM/SIMVA TAB 10-10MG,1
43598058430,EZETIM/SIMVA TAB 10-20MG,346
43598058490,EZETIM/SIMVA TAB 10-20MG,20
43598058530,EZETIM/SIMVA TAB 10-40MG,410
43598058590,EZETIM/SIMVA TAB 10-40MG,20
43598058630,EZETIM/SIMVA TAB 10-80MG,71
43683011201,MUPIROCIN    OIN 2%,20
43683011420,CLARITHROMYC TAB 500MG,1
43683012101,FLUTICASONE  SPR 50MCG,9
43683012801,CEPHALEXIN   SUS 250/5ML,1
43683015106,AZITHROMYCIN TAB 250MG,1
43683015230,SIMVASTATIN  TAB 40MG,5
43684010010,SCALACORT    LOT 2%,16
43684020020,AVIDOXY      TAB 100MG,24
43684020021,AVIDOXY DK   KIT,6
43744036735,ESTRIOL      POW MICRONIZ,4
43744036761,ESTRIOL      POW MICRONIZ,12
43773100102,TESTOPEL     MIS PELLETS,1125
43773100103,TESTOPEL     MIS PELLETS,4
43773100104,TESTOPEL     MIS PELLETS,10
43797010412,PROGESTERONE INJ 50MG/ML,1
43797026503,FETINIC-MW   CAP CR,1
43820000008,ULTI-LANCE   MIS DEVICE,16
43820000009,ULTI-LANCE   MIS CLR TIP,2018
43820005020,ALCOHOL SWAB PAD,1
43820006010,ALCOHOL SWAB PAD,1
43820050200,ALCOHOL SWAB PAD,6
43820060200,ULTILET ALCH PAD SWAB,13
43900014240,COMPLEAT PED LIQ,5
43900018150,ISOSOURCE    LIQ 1.5 CAL,4
43900018215,BOOST VHC    LIQ VANILLA,3
43900018600,BOOST BREEZE LIQ ASSORTED,6
43900018666,BOOST        LIQ BREEZE,1
43900023211,THICKENUP    LIQ DAIRY,2
43900028250,BENECALORIE  LIQ,3
43900028300,GLUTASOLVE   POW 15GM,1
43900028410,BENEPROTEIN  POW UNFLAVOR,4
43900028430,BENEPROTEIN  POW,1
43900033511,BOOST 1.0CAL LIQ VANILLA,1
43900033540,BOOST 1.5CAL LIQ VANILLA,4
43900036011,BOOST GLUCOS LIQ CONTROL,4
43900036021,BOOST GLUCOS LIQ CONTROL,8
43900067439,BOOST        LIQ VANILLA,6
